patent_id,title,filing_year,grant_year,country,assignee,technology_field,citations,inventor_count,patent_status,patent_family_size
PT003528,Innovative Nanotechnology System 3528,2019,2023,Switzerland,TechNova Corp,Quantum Computing,218,7,Expired,3
PT003529,Innovative Biotechnology System 3529,2016,2018,USA,Quantum Circuits Ltd,Telecommunications,135,2,Expired,11
PT003530,Innovative Robotics System 3530,2024,2026,UK,Global Energy Systems,Robotics,17,3,Active,2
PT003531,Innovative Artificial Intelligence System 3531,2014,2016,France,NextGen Robotics,Biotechnology,134,7,Expired,2
PT003532,Innovative Biotechnology System 3532,2025,2029,Japan,TechNova Corp,Renewable Energy,48,7,Expired,13
PT003533,Innovative Nanotechnology System 3533,2013,2017,Japan,InnovateX,Quantum Computing,48,6,Pending,10
PT003534,Innovative Electric Vehicles System 3534,2012,2016,France,Quantum Circuits Ltd,Artificial Intelligence,214,4,Active,4
PT003535,Innovative Renewable Energy System 3535,2012,2014,UK,BioHealth Inc,Quantum Computing,38,7,Expired,15
PT003536,Innovative Robotics System 3536,2013,2015,Switzerland,NextGen Robotics,Electric Vehicles,149,5,Pending,14
PT003537,Innovative Renewable Energy System 3537,2020,2022,UK,BioHealth Inc,Nanotechnology,106,5,Expired,5
PT003538,Innovative Robotics System 3538,2018,2020,Canada,InnovateX,Quantum Computing,28,2,Active,5
PT003539,Innovative Artificial Intelligence System 3539,2017,2019,France,Quantum Circuits Ltd,Artificial Intelligence,154,1,Expired,9
PT003540,Innovative Biotechnology System 3540,2025,2029,UK,Global Energy Systems,Pharmaceuticals,152,1,Pending,15
PT003541,Innovative Electric Vehicles System 3541,2022,2024,Canada,SmartComm Technologies,Nanotechnology,13,3,Expired,10
PT003542,Innovative Artificial Intelligence System 3542,2013,2015,South Korea,InnovateX,Semiconductors,119,3,Active,7
PT003543,Innovative Robotics System 3543,2015,2019,USA,NextGen Robotics,Renewable Energy,48,6,Pending,5
PT003544,Innovative Renewable Energy System 3544,2012,2013,Switzerland,Global Energy Systems,Pharmaceuticals,168,8,Expired,13
PT003545,Innovative Nanotechnology System 3545,2017,2021,Japan,FutureDrive Motors,Pharmaceuticals,250,8,Pending,6
PT003546,Innovative Nanotechnology System 3546,2021,2022,Germany,Quantum Circuits Ltd,Electric Vehicles,68,2,Active,2
PT003547,Innovative Robotics System 3547,2025,2027,India,TechNova Corp,Semiconductors,181,7,Active,6
PT003548,Innovative Robotics System 3548,2022,2026,China,GreenFuture Labs,Renewable Energy,93,5,Pending,14
PT003549,Innovative Semiconductors System 3549,2015,2017,USA,TechNova Corp,Quantum Computing,10,6,Expired,4
PT003550,Innovative Nanotechnology System 3550,2011,2013,Germany,AI Dynamics,Telecommunications,163,3,Pending,8
PT003551,Innovative Biotechnology System 3551,2017,2019,USA,SmartComm Technologies,Quantum Computing,134,4,Active,3
PT003552,Innovative Robotics System 3552,2024,2026,UK,Quantum Circuits Ltd,Quantum Computing,89,3,Active,1
PT003553,Innovative Artificial Intelligence System 3553,2025,2027,China,FutureDrive Motors,Electric Vehicles,216,1,Pending,5
PT003554,Innovative Telecommunications System 3554,2014,2018,China,InnovateX,Renewable Energy,125,7,Active,11
PT003555,Innovative Biotechnology System 3555,2022,2025,Germany,FutureDrive Motors,Pharmaceuticals,90,6,Active,11
PT003556,Innovative Pharmaceuticals System 3556,2010,2011,China,TechNova Corp,Quantum Computing,29,5,Pending,9
PT003557,Innovative Renewable Energy System 3557,2018,2020,France,BioHealth Inc,Semiconductors,176,1,Active,4
PT003558,Innovative Electric Vehicles System 3558,2023,2024,Germany,BioHealth Inc,Semiconductors,82,1,Active,12
PT003559,Innovative Semiconductors System 3559,2017,2018,South Korea,AI Dynamics,Renewable Energy,224,5,Active,8
PT003560,Innovative Nanotechnology System 3560,2020,2022,China,InnovateX,Nanotechnology,36,1,Pending,2
PT003561,Innovative Semiconductors System 3561,2023,2027,China,InnovateX,Robotics,156,7,Pending,8
PT003562,Innovative Semiconductors System 3562,2019,2020,Japan,TechNova Corp,Telecommunications,95,5,Expired,2
PT003563,Innovative Biotechnology System 3563,2010,2014,France,InnovateX,Telecommunications,148,8,Active,1
PT003564,Innovative Pharmaceuticals System 3564,2019,2022,Canada,TechNova Corp,Biotechnology,84,2,Expired,7
PT003565,Innovative Nanotechnology System 3565,2019,2021,France,MedGenome Labs,Renewable Energy,132,1,Pending,3
PT003566,Innovative Biotechnology System 3566,2019,2020,UK,TechNova Corp,Pharmaceuticals,209,1,Pending,10
PT003567,Innovative Biotechnology System 3567,2023,2027,Japan,GreenFuture Labs,Pharmaceuticals,214,3,Pending,6
PT003568,Innovative Semiconductors System 3568,2021,2023,Germany,BioHealth Inc,Quantum Computing,239,1,Expired,9
PT003569,Innovative Electric Vehicles System 3569,2016,2020,South Korea,NextGen Robotics,Pharmaceuticals,235,5,Pending,1
PT003570,Innovative Robotics System 3570,2019,2023,Germany,Global Energy Systems,Semiconductors,152,6,Active,13
PT003571,Innovative Biotechnology System 3571,2013,2014,UK,BioHealth Inc,Pharmaceuticals,81,7,Active,8
PT003572,Innovative Robotics System 3572,2024,2026,USA,NextGen Robotics,Biotechnology,113,5,Pending,10
PT003573,Innovative Artificial Intelligence System 3573,2010,2012,South Korea,Global Energy Systems,Quantum Computing,228,1,Pending,13
PT003574,Innovative Quantum Computing System 3574,2025,2026,France,GreenFuture Labs,Telecommunications,211,3,Active,10
PT003575,Innovative Pharmaceuticals System 3575,2017,2020,South Korea,AI Dynamics,Pharmaceuticals,152,3,Active,6
PT003576,Innovative Electric Vehicles System 3576,2021,2025,UK,SmartComm Technologies,Electric Vehicles,153,2,Active,11
PT003577,Innovative Nanotechnology System 3577,2016,2020,Canada,NextGen Robotics,Artificial Intelligence,181,5,Expired,8
PT003578,Innovative Electric Vehicles System 3578,2023,2025,South Korea,Global Energy Systems,Biotechnology,22,7,Active,9
PT003579,Innovative Artificial Intelligence System 3579,2021,2025,China,Global Energy Systems,Renewable Energy,46,2,Active,4
PT003580,Innovative Artificial Intelligence System 3580,2022,2026,USA,NanoWorks,Semiconductors,69,8,Expired,11
PT003581,Innovative Quantum Computing System 3581,2012,2014,Switzerland,NanoWorks,Nanotechnology,158,4,Active,11
PT003582,Innovative Robotics System 3582,2025,2028,China,MedGenome Labs,Biotechnology,191,4,Pending,14
PT003583,Innovative Electric Vehicles System 3583,2025,2027,China,AI Dynamics,Pharmaceuticals,178,7,Active,15
PT003584,Innovative Quantum Computing System 3584,2017,2019,India,MedGenome Labs,Quantum Computing,225,6,Active,9
PT003585,Innovative Quantum Computing System 3585,2021,2025,China,NanoWorks,Telecommunications,198,4,Pending,8
PT003586,Innovative Artificial Intelligence System 3586,2022,2024,Switzerland,TechNova Corp,Artificial Intelligence,120,4,Expired,10
PT003587,Innovative Telecommunications System 3587,2019,2022,UK,SmartComm Technologies,Telecommunications,222,5,Expired,2
PT003588,Innovative Robotics System 3588,2011,2015,Switzerland,BioHealth Inc,Robotics,34,7,Pending,13
PT003589,Innovative Semiconductors System 3589,2020,2023,South Korea,SmartComm Technologies,Pharmaceuticals,145,2,Pending,7
PT003590,Innovative Semiconductors System 3590,2010,2013,UK,FutureDrive Motors,Quantum Computing,53,6,Pending,11
PT003591,Innovative Nanotechnology System 3591,2011,2015,Switzerland,InnovateX,Pharmaceuticals,129,6,Expired,9
PT003592,Innovative Pharmaceuticals System 3592,2017,2021,France,AI Dynamics,Quantum Computing,18,7,Expired,9
PT003593,Innovative Telecommunications System 3593,2019,2021,USA,SmartComm Technologies,Semiconductors,14,8,Pending,11
PT003594,Innovative Electric Vehicles System 3594,2013,2017,France,GreenFuture Labs,Semiconductors,80,1,Pending,11
PT003595,Innovative Quantum Computing System 3595,2010,2014,Canada,NextGen Robotics,Robotics,149,3,Active,4
PT003596,Innovative Telecommunications System 3596,2016,2019,USA,NextGen Robotics,Semiconductors,104,6,Active,9
PT003597,Innovative Renewable Energy System 3597,2020,2021,Japan,GreenFuture Labs,Renewable Energy,238,7,Expired,4
PT003598,Innovative Semiconductors System 3598,2015,2019,UK,MedGenome Labs,Pharmaceuticals,207,2,Expired,10
PT003599,Innovative Telecommunications System 3599,2024,2026,Switzerland,MedGenome Labs,Artificial Intelligence,48,3,Active,4
PT003600,Innovative Electric Vehicles System 3600,2018,2022,China,Quantum Circuits Ltd,Robotics,202,6,Active,10
PT003601,Innovative Pharmaceuticals System 3601,2017,2020,UK,Global Energy Systems,Electric Vehicles,10,3,Active,1
PT003602,Innovative Electric Vehicles System 3602,2023,2024,South Korea,GreenFuture Labs,Semiconductors,107,5,Expired,15
PT003603,Innovative Electric Vehicles System 3603,2021,2024,France,GreenFuture Labs,Renewable Energy,27,4,Pending,10
PT003604,Innovative Electric Vehicles System 3604,2012,2014,USA,InnovateX,Pharmaceuticals,7,8,Pending,7
PT003605,Innovative Renewable Energy System 3605,2013,2015,Germany,NanoWorks,Semiconductors,167,1,Expired,7
PT003606,Innovative Robotics System 3606,2019,2022,Canada,MedGenome Labs,Pharmaceuticals,63,1,Expired,6
PT003607,Innovative Pharmaceuticals System 3607,2021,2024,Switzerland,Global Energy Systems,Artificial Intelligence,32,7,Active,12
PT003608,Innovative Artificial Intelligence System 3608,2020,2024,India,SmartComm Technologies,Electric Vehicles,196,5,Active,4
PT003609,Innovative Robotics System 3609,2014,2018,Japan,FutureDrive Motors,Nanotechnology,15,5,Pending,14
PT003610,Innovative Artificial Intelligence System 3610,2023,2024,Canada,BioHealth Inc,Semiconductors,102,7,Pending,11
PT003611,Innovative Nanotechnology System 3611,2014,2018,USA,BioHealth Inc,Renewable Energy,38,1,Pending,8
PT003612,Innovative Artificial Intelligence System 3612,2021,2024,France,GreenFuture Labs,Electric Vehicles,197,1,Expired,11
PT003613,Innovative Biotechnology System 3613,2024,2025,UK,AI Dynamics,Biotechnology,44,1,Active,4
PT003614,Innovative Telecommunications System 3614,2016,2019,Switzerland,TechNova Corp,Electric Vehicles,111,8,Active,15
PT003615,Innovative Renewable Energy System 3615,2013,2017,China,NanoWorks,Semiconductors,175,4,Pending,14
PT003616,Innovative Nanotechnology System 3616,2017,2018,Germany,FutureDrive Motors,Robotics,200,3,Active,1
PT003617,Innovative Artificial Intelligence System 3617,2020,2022,India,GreenFuture Labs,Renewable Energy,44,7,Active,14
PT003618,Innovative Renewable Energy System 3618,2011,2013,Canada,NextGen Robotics,Electric Vehicles,113,5,Active,8
PT003619,Innovative Telecommunications System 3619,2011,2014,Switzerland,NanoWorks,Pharmaceuticals,125,8,Active,15
PT003620,Innovative Robotics System 3620,2014,2015,Japan,BioHealth Inc,Renewable Energy,177,1,Active,3
PT003621,Innovative Telecommunications System 3621,2023,2024,South Korea,InnovateX,Robotics,93,6,Active,12
PT003622,Innovative Robotics System 3622,2018,2022,USA,FutureDrive Motors,Robotics,209,1,Pending,7
PT003623,Innovative Renewable Energy System 3623,2018,2022,South Korea,Global Energy Systems,Renewable Energy,92,8,Active,8
PT003624,Innovative Electric Vehicles System 3624,2024,2027,India,NanoWorks,Quantum Computing,66,1,Expired,1
PT003625,Innovative Pharmaceuticals System 3625,2018,2022,India,SmartComm Technologies,Electric Vehicles,198,1,Expired,2
PT003626,Innovative Renewable Energy System 3626,2014,2018,Canada,Quantum Circuits Ltd,Renewable Energy,102,1,Pending,3
PT003627,Innovative Biotechnology System 3627,2014,2018,France,Quantum Circuits Ltd,Biotechnology,112,1,Active,6
PT003628,Innovative Biotechnology System 3628,2016,2020,Canada,InnovateX,Artificial Intelligence,85,7,Pending,12
PT003629,Innovative Semiconductors System 3629,2022,2023,China,MedGenome Labs,Robotics,96,5,Expired,14
PT003630,Innovative Renewable Energy System 3630,2021,2022,India,FutureDrive Motors,Quantum Computing,48,2,Active,13
PT003631,Innovative Quantum Computing System 3631,2018,2020,UK,NextGen Robotics,Pharmaceuticals,172,5,Active,14
PT003632,Innovative Biotechnology System 3632,2022,2023,Switzerland,FutureDrive Motors,Biotechnology,250,5,Pending,1
PT003633,Innovative Biotechnology System 3633,2024,2025,India,TechNova Corp,Quantum Computing,199,7,Expired,14
PT003634,Innovative Renewable Energy System 3634,2013,2016,USA,SmartComm Technologies,Electric Vehicles,166,2,Pending,1
PT003635,Innovative Artificial Intelligence System 3635,2025,2028,South Korea,NextGen Robotics,Semiconductors,108,6,Pending,8
PT003636,Innovative Renewable Energy System 3636,2022,2026,South Korea,InnovateX,Biotechnology,171,1,Expired,2
PT003637,Innovative Nanotechnology System 3637,2012,2013,USA,TechNova Corp,Electric Vehicles,13,2,Expired,9
PT003638,Innovative Renewable Energy System 3638,2021,2022,USA,Global Energy Systems,Artificial Intelligence,38,6,Pending,5
PT003639,Innovative Semiconductors System 3639,2025,2027,Switzerland,BioHealth Inc,Artificial Intelligence,20,1,Pending,3
PT003640,Innovative Nanotechnology System 3640,2025,2028,Switzerland,SmartComm Technologies,Telecommunications,165,8,Pending,12
PT003641,Innovative Nanotechnology System 3641,2020,2022,France,Global Energy Systems,Nanotechnology,221,8,Pending,5
PT003642,Innovative Pharmaceuticals System 3642,2018,2020,Germany,InnovateX,Nanotechnology,195,5,Pending,11
PT003643,Innovative Telecommunications System 3643,2015,2016,China,InnovateX,Telecommunications,28,6,Pending,4
PT003644,Innovative Artificial Intelligence System 3644,2024,2027,UK,GreenFuture Labs,Semiconductors,61,8,Pending,13
PT003645,Innovative Robotics System 3645,2017,2021,France,MedGenome Labs,Nanotechnology,197,8,Expired,9
PT003646,Innovative Artificial Intelligence System 3646,2013,2017,Canada,Global Energy Systems,Pharmaceuticals,127,2,Expired,5
PT003647,Innovative Quantum Computing System 3647,2011,2014,South Korea,FutureDrive Motors,Robotics,132,2,Expired,5
PT003648,Innovative Semiconductors System 3648,2011,2012,UK,NanoWorks,Robotics,43,5,Pending,1
PT003649,Innovative Telecommunications System 3649,2021,2025,South Korea,Global Energy Systems,Artificial Intelligence,144,7,Active,3
PT003650,Innovative Semiconductors System 3650,2018,2021,UK,BioHealth Inc,Electric Vehicles,188,2,Active,15
PT003651,Innovative Artificial Intelligence System 3651,2013,2014,Canada,Global Energy Systems,Biotechnology,246,5,Expired,11
PT003652,Innovative Nanotechnology System 3652,2023,2026,Japan,BioHealth Inc,Biotechnology,62,6,Pending,7
PT003653,Innovative Artificial Intelligence System 3653,2013,2015,India,MedGenome Labs,Semiconductors,166,5,Pending,15
PT003654,Innovative Renewable Energy System 3654,2010,2011,Germany,AI Dynamics,Robotics,67,3,Expired,10
PT003655,Innovative Artificial Intelligence System 3655,2025,2027,UK,Global Energy Systems,Telecommunications,139,3,Pending,9
PT003656,Innovative Nanotechnology System 3656,2025,2026,Germany,GreenFuture Labs,Telecommunications,120,5,Pending,12
PT003657,Innovative Telecommunications System 3657,2018,2022,France,TechNova Corp,Telecommunications,44,4,Expired,2
PT003658,Innovative Electric Vehicles System 3658,2025,2028,Germany,GreenFuture Labs,Telecommunications,110,2,Expired,3
PT003659,Innovative Quantum Computing System 3659,2025,2028,USA,Quantum Circuits Ltd,Pharmaceuticals,204,3,Pending,14
PT003660,Innovative Electric Vehicles System 3660,2015,2019,France,FutureDrive Motors,Quantum Computing,132,8,Pending,9
PT003661,Innovative Pharmaceuticals System 3661,2024,2028,South Korea,Quantum Circuits Ltd,Pharmaceuticals,131,5,Expired,13
PT003662,Innovative Semiconductors System 3662,2019,2020,South Korea,TechNova Corp,Biotechnology,235,3,Pending,15
PT003663,Innovative Artificial Intelligence System 3663,2016,2020,UK,FutureDrive Motors,Robotics,46,8,Expired,11
PT003664,Innovative Telecommunications System 3664,2012,2014,France,NextGen Robotics,Quantum Computing,154,1,Active,3
PT003665,Innovative Telecommunications System 3665,2018,2021,India,FutureDrive Motors,Semiconductors,108,6,Expired,2
PT003666,Innovative Robotics System 3666,2012,2015,Canada,InnovateX,Renewable Energy,180,3,Pending,15
PT003667,Innovative Electric Vehicles System 3667,2017,2018,USA,AI Dynamics,Robotics,85,5,Pending,1
PT003668,Innovative Biotechnology System 3668,2020,2022,France,TechNova Corp,Renewable Energy,180,3,Expired,11
PT003669,Innovative Semiconductors System 3669,2019,2021,USA,NextGen Robotics,Electric Vehicles,245,3,Pending,12
PT003670,Innovative Quantum Computing System 3670,2025,2026,France,AI Dynamics,Renewable Energy,72,5,Expired,14
PT003671,Innovative Semiconductors System 3671,2021,2025,China,GreenFuture Labs,Renewable Energy,160,2,Active,9
PT003672,Innovative Quantum Computing System 3672,2010,2014,Germany,NanoWorks,Electric Vehicles,138,1,Expired,7
PT003673,Innovative Telecommunications System 3673,2012,2015,UK,FutureDrive Motors,Quantum Computing,84,7,Expired,4
PT003674,Innovative Pharmaceuticals System 3674,2021,2025,South Korea,GreenFuture Labs,Quantum Computing,238,1,Active,11
PT003675,Innovative Renewable Energy System 3675,2015,2018,China,BioHealth Inc,Quantum Computing,180,7,Expired,10
PT003676,Innovative Nanotechnology System 3676,2011,2014,South Korea,InnovateX,Nanotechnology,236,5,Active,9
PT003677,Innovative Electric Vehicles System 3677,2015,2018,USA,Global Energy Systems,Renewable Energy,11,4,Active,11
PT003678,Innovative Nanotechnology System 3678,2017,2019,Canada,NanoWorks,Electric Vehicles,23,3,Active,12
PT003679,Innovative Semiconductors System 3679,2015,2016,France,InnovateX,Quantum Computing,111,5,Active,13
PT003680,Innovative Quantum Computing System 3680,2024,2028,France,BioHealth Inc,Robotics,241,6,Active,8
PT003681,Innovative Robotics System 3681,2014,2018,USA,MedGenome Labs,Semiconductors,38,1,Pending,15
PT003682,Innovative Quantum Computing System 3682,2025,2029,Japan,Quantum Circuits Ltd,Electric Vehicles,248,2,Pending,1
PT003683,Innovative Quantum Computing System 3683,2023,2025,Japan,NextGen Robotics,Telecommunications,163,6,Pending,12
PT003684,Innovative Semiconductors System 3684,2021,2025,UK,InnovateX,Renewable Energy,49,3,Expired,8
PT003685,Innovative Telecommunications System 3685,2011,2012,UK,NextGen Robotics,Pharmaceuticals,135,6,Pending,10
PT003686,Innovative Artificial Intelligence System 3686,2025,2027,Germany,SmartComm Technologies,Semiconductors,190,3,Active,9
PT003687,Innovative Artificial Intelligence System 3687,2021,2025,South Korea,MedGenome Labs,Renewable Energy,201,5,Active,13
PT003688,Innovative Pharmaceuticals System 3688,2014,2017,UK,Quantum Circuits Ltd,Robotics,133,4,Pending,13
PT003689,Innovative Artificial Intelligence System 3689,2024,2028,South Korea,GreenFuture Labs,Biotechnology,106,8,Pending,9
PT003690,Innovative Nanotechnology System 3690,2012,2015,France,AI Dynamics,Telecommunications,102,8,Active,9
PT003691,Innovative Robotics System 3691,2022,2025,Switzerland,TechNova Corp,Telecommunications,246,5,Pending,11
PT003692,Innovative Electric Vehicles System 3692,2018,2022,Japan,NextGen Robotics,Renewable Energy,182,3,Pending,14
PT003693,Innovative Telecommunications System 3693,2012,2014,Canada,FutureDrive Motors,Pharmaceuticals,90,8,Pending,8
PT003694,Innovative Robotics System 3694,2010,2011,Germany,NextGen Robotics,Nanotechnology,67,6,Pending,14
PT003695,Innovative Robotics System 3695,2018,2020,South Korea,TechNova Corp,Electric Vehicles,105,1,Pending,9
PT003696,Innovative Artificial Intelligence System 3696,2020,2022,China,BioHealth Inc,Artificial Intelligence,57,4,Pending,9
PT003697,Innovative Semiconductors System 3697,2010,2011,Canada,SmartComm Technologies,Biotechnology,221,7,Active,9
PT003698,Innovative Pharmaceuticals System 3698,2017,2019,France,NanoWorks,Nanotechnology,13,6,Pending,13
PT003699,Innovative Quantum Computing System 3699,2012,2013,USA,GreenFuture Labs,Pharmaceuticals,209,4,Active,8
PT003700,Innovative Pharmaceuticals System 3700,2018,2020,France,SmartComm Technologies,Artificial Intelligence,33,8,Expired,3
PT003701,Innovative Pharmaceuticals System 3701,2024,2025,France,Global Energy Systems,Nanotechnology,110,6,Expired,12
PT003702,Innovative Electric Vehicles System 3702,2019,2022,UK,FutureDrive Motors,Pharmaceuticals,156,6,Expired,1
PT003703,Innovative Semiconductors System 3703,2020,2023,France,BioHealth Inc,Nanotechnology,181,2,Expired,2
PT003704,Innovative Telecommunications System 3704,2019,2022,China,NanoWorks,Semiconductors,159,6,Active,12
PT003705,Innovative Pharmaceuticals System 3705,2020,2022,Germany,TechNova Corp,Electric Vehicles,228,3,Active,7
PT003706,Innovative Biotechnology System 3706,2020,2021,Switzerland,AI Dynamics,Renewable Energy,23,5,Expired,8
PT003707,Innovative Pharmaceuticals System 3707,2019,2022,Germany,TechNova Corp,Semiconductors,10,3,Expired,11
PT003708,Innovative Electric Vehicles System 3708,2022,2025,Japan,TechNova Corp,Quantum Computing,187,3,Expired,1
PT003709,Innovative Semiconductors System 3709,2016,2019,Germany,MedGenome Labs,Biotechnology,201,3,Pending,5
PT003710,Innovative Renewable Energy System 3710,2019,2020,Switzerland,NextGen Robotics,Robotics,59,5,Pending,14
PT003711,Innovative Biotechnology System 3711,2010,2013,Germany,MedGenome Labs,Biotechnology,210,1,Expired,12
PT003712,Innovative Electric Vehicles System 3712,2015,2018,Switzerland,Global Energy Systems,Nanotechnology,145,1,Pending,1
PT003713,Innovative Nanotechnology System 3713,2019,2023,South Korea,GreenFuture Labs,Renewable Energy,204,4,Active,6
PT003714,Innovative Artificial Intelligence System 3714,2019,2023,China,NanoWorks,Nanotechnology,22,2,Active,13
PT003715,Innovative Telecommunications System 3715,2019,2021,Canada,MedGenome Labs,Pharmaceuticals,121,2,Active,4
PT003716,Innovative Electric Vehicles System 3716,2023,2025,France,NanoWorks,Robotics,22,3,Expired,4
PT003717,Innovative Biotechnology System 3717,2019,2021,China,BioHealth Inc,Artificial Intelligence,197,3,Pending,2
PT003718,Innovative Semiconductors System 3718,2016,2017,USA,GreenFuture Labs,Telecommunications,151,5,Pending,1
PT003719,Innovative Quantum Computing System 3719,2015,2016,Canada,AI Dynamics,Quantum Computing,182,2,Pending,7
PT003720,Innovative Pharmaceuticals System 3720,2023,2026,Germany,NextGen Robotics,Biotechnology,211,2,Pending,10
PT003721,Innovative Biotechnology System 3721,2011,2013,Japan,NextGen Robotics,Pharmaceuticals,100,4,Active,8
PT003722,Innovative Robotics System 3722,2014,2016,France,SmartComm Technologies,Artificial Intelligence,76,2,Expired,2
PT003723,Innovative Quantum Computing System 3723,2010,2012,Switzerland,GreenFuture Labs,Nanotechnology,29,8,Expired,1
PT003724,Innovative Biotechnology System 3724,2020,2021,Japan,MedGenome Labs,Semiconductors,200,3,Active,13
PT003725,Innovative Telecommunications System 3725,2017,2020,Switzerland,Global Energy Systems,Robotics,7,8,Active,5
PT003726,Innovative Pharmaceuticals System 3726,2025,2029,USA,MedGenome Labs,Electric Vehicles,116,6,Pending,3
PT003727,Innovative Renewable Energy System 3727,2021,2025,Japan,GreenFuture Labs,Robotics,193,4,Active,7
PT003728,Innovative Electric Vehicles System 3728,2010,2012,Canada,MedGenome Labs,Biotechnology,23,1,Expired,13
PT003729,Innovative Semiconductors System 3729,2024,2025,Switzerland,FutureDrive Motors,Robotics,220,4,Active,7
PT003730,Innovative Artificial Intelligence System 3730,2022,2026,USA,Global Energy Systems,Nanotechnology,155,5,Expired,15
PT003731,Innovative Nanotechnology System 3731,2022,2026,Japan,MedGenome Labs,Renewable Energy,196,4,Active,12
PT003732,Innovative Artificial Intelligence System 3732,2024,2025,India,GreenFuture Labs,Pharmaceuticals,133,1,Active,10
PT003733,Innovative Telecommunications System 3733,2025,2026,USA,NanoWorks,Robotics,50,4,Active,4
PT003734,Innovative Artificial Intelligence System 3734,2019,2021,France,Global Energy Systems,Quantum Computing,199,8,Expired,5
PT003735,Innovative Semiconductors System 3735,2016,2018,India,Global Energy Systems,Nanotechnology,187,1,Pending,8
PT003736,Innovative Quantum Computing System 3736,2015,2017,UK,NanoWorks,Renewable Energy,175,6,Pending,6
PT003737,Innovative Pharmaceuticals System 3737,2018,2021,China,NextGen Robotics,Nanotechnology,196,2,Pending,7
PT003738,Innovative Telecommunications System 3738,2010,2012,Canada,BioHealth Inc,Semiconductors,109,8,Pending,9
PT003739,Innovative Semiconductors System 3739,2016,2020,France,FutureDrive Motors,Semiconductors,37,4,Pending,1
PT003740,Innovative Semiconductors System 3740,2011,2014,France,Quantum Circuits Ltd,Electric Vehicles,93,5,Expired,7
PT003741,Innovative Electric Vehicles System 3741,2018,2022,South Korea,GreenFuture Labs,Robotics,59,8,Active,3
PT003742,Innovative Semiconductors System 3742,2011,2015,China,SmartComm Technologies,Pharmaceuticals,88,3,Pending,8
PT003743,Innovative Artificial Intelligence System 3743,2025,2029,China,Quantum Circuits Ltd,Pharmaceuticals,131,5,Active,9
PT003744,Innovative Telecommunications System 3744,2013,2014,South Korea,GreenFuture Labs,Pharmaceuticals,112,3,Pending,2
PT003745,Innovative Robotics System 3745,2019,2021,China,GreenFuture Labs,Robotics,137,7,Active,2
PT003746,Innovative Artificial Intelligence System 3746,2019,2023,Japan,InnovateX,Biotechnology,22,3,Expired,12
PT003747,Innovative Pharmaceuticals System 3747,2010,2013,UK,MedGenome Labs,Telecommunications,97,6,Expired,3
PT003748,Innovative Robotics System 3748,2022,2024,Canada,Quantum Circuits Ltd,Semiconductors,127,8,Active,5
PT003749,Innovative Telecommunications System 3749,2010,2012,South Korea,AI Dynamics,Pharmaceuticals,71,6,Pending,6
PT003750,Innovative Artificial Intelligence System 3750,2023,2027,USA,NextGen Robotics,Artificial Intelligence,217,2,Active,10
PT003751,Innovative Renewable Energy System 3751,2023,2025,India,BioHealth Inc,Semiconductors,247,7,Pending,8
PT003752,Innovative Biotechnology System 3752,2018,2020,India,MedGenome Labs,Semiconductors,99,4,Pending,6
PT003753,Innovative Electric Vehicles System 3753,2011,2014,USA,FutureDrive Motors,Semiconductors,66,1,Pending,10
PT003754,Innovative Pharmaceuticals System 3754,2012,2016,USA,NanoWorks,Biotechnology,17,4,Expired,13
PT003755,Innovative Semiconductors System 3755,2018,2019,South Korea,NanoWorks,Telecommunications,143,5,Active,14
PT003756,Innovative Artificial Intelligence System 3756,2025,2029,USA,MedGenome Labs,Robotics,44,8,Pending,6
PT003757,Innovative Telecommunications System 3757,2020,2021,Germany,FutureDrive Motors,Pharmaceuticals,65,5,Pending,12
PT003758,Innovative Nanotechnology System 3758,2022,2026,UK,Quantum Circuits Ltd,Renewable Energy,213,2,Pending,13
PT003759,Innovative Robotics System 3759,2025,2028,Germany,SmartComm Technologies,Pharmaceuticals,43,1,Active,2
PT003760,Innovative Electric Vehicles System 3760,2023,2024,Japan,Quantum Circuits Ltd,Telecommunications,118,5,Pending,13
PT003761,Innovative Semiconductors System 3761,2020,2022,UK,AI Dynamics,Biotechnology,208,7,Pending,4
PT003762,Innovative Robotics System 3762,2017,2019,South Korea,MedGenome Labs,Quantum Computing,155,8,Pending,2
PT003763,Innovative Biotechnology System 3763,2011,2012,India,TechNova Corp,Electric Vehicles,142,2,Active,11
PT003764,Innovative Electric Vehicles System 3764,2019,2022,France,GreenFuture Labs,Semiconductors,10,5,Pending,5
PT003765,Innovative Telecommunications System 3765,2019,2020,Germany,AI Dynamics,Semiconductors,80,6,Active,13
PT003766,Innovative Electric Vehicles System 3766,2016,2018,Germany,AI Dynamics,Quantum Computing,207,8,Pending,6
PT003767,Innovative Nanotechnology System 3767,2022,2026,Canada,GreenFuture Labs,Semiconductors,12,3,Expired,15
PT003768,Innovative Telecommunications System 3768,2020,2024,India,MedGenome Labs,Electric Vehicles,24,2,Expired,9
PT003769,Innovative Quantum Computing System 3769,2014,2015,India,TechNova Corp,Quantum Computing,202,5,Active,15
PT003770,Innovative Nanotechnology System 3770,2010,2014,China,GreenFuture Labs,Robotics,30,2,Expired,15
PT003771,Innovative Telecommunications System 3771,2022,2025,France,MedGenome Labs,Biotechnology,247,2,Pending,14
PT003772,Innovative Nanotechnology System 3772,2017,2018,India,Global Energy Systems,Telecommunications,44,5,Expired,4
